Word,Score
palls,8694.8
goals,8693.07
coirs,8690.83
jetes,8689.77
soree,8689.35
wries,8689.14
frees,8688.78
boets,8685.51
boaks,8684.35
cools,8683.19
harls,8682.79
dexes,8682.53
sells,8682.26
rains,8681.96
bools,8681.71
karts,8680.56
samps,8679.25
koras,8679.24
leves,8678.9
sojas,8676.39
calos,8674.14
taels,8673.69
rides,8671.37
ranis,8671.13
toils,8670.28
muses,8669.02
aloes,8667.34
haars,8666.28
pizes,8666.27
rices,8664.05
colts,8663.68
loris,8662.43
tarps,8662.4
bolts,8662.2
poons,8660.47
rails,8660.25
fains,8660.21
mairs,8659.7
kites,8657.18
pixes,8655.53
pubes,8654.06
foals,8654.01
soups,8653.59
moits,8652.45
byres,8650.9
talls,8650.38
fides,8649.62
doits,8647.97
loans,8646.69
lants,8645.43
lutes,8643.34
poets,8642.56
fices,8642.3
ripes,8642.15
caids,8639.93
teras,8639.29
pools,8638.76
fails,8638.5
gibes,8637.71
seers,8637.27
kanas,8637.16
batts,8635.37
botas,8634.05
corks,8634.04
borks,8632.56
malts,8632.55
molas,8631.23
rezes,8630.0
dalts,8628.07
cukes,8627.72
warns,8627.7
flies,8626.58
bukes,8626.24
paiks,8625.89
soums,8624.8
sacks,8623.47
tizes,8621.85
ribes,8620.4
softs,8619.68
rexes,8619.26
polts,8619.25
dorrs,8618.94
haros,8617.7
mikes,8617.38
toons,8616.05
boors,8613.41
dikes,8612.9
tubes,8609.64
gairs,8609.26
fezes,8608.25
pyres,8607.95
malis,8607.47
roars,8607.46
nites,8605.65
wises,8604.08
naris,8603.95
cords,8603.65
dalis,8602.99
marks,8602.91
bords,8602.17
gaols,8601.62
ruses,8601.27
tauts,8599.92
darks,8598.43
sowls,8597.36
tools,8594.34
polis,8594.17
lipes,8591.37
banks,8590.48
beats,8589.9
porks,8589.61
silts,8588.53
naans,8588.21
karns,8587.95
suits,8587.64
nanas,8585.63
dives,8584.9
cacas,8584.67
manos,8584.55
pukes,8583.29
yeses,8582.79
horis,8582.16
rumes,8581.83
setts,8579.88
fuses,8579.52
lezes,8579.22
moots,8576.51
tolts,8574.83
cauls,8574.45
carbs,8571.31
fairs,8570.2
barbs,8569.83
lexes,8568.48
waits,8566.72
toads,8566.59
hants,8565.16
tyres,8563.53
capas,8562.77
clues,8562.53
corps,8561.38
blues,8561.05
bands,8560.09
fumes,8560.08
