Word,Score
shiny,5234.73
booth,5233.28
leaky,5233.12
fleet,5232.67
boost,5232.13
slice,5231.24
bawdy,5230.6
spite,5229.47
billy,5226.65
roast,5226.18
pasta,5226.12
moron,5225.64
cargo,5221.86
slime,5220.84
level,5218.49
color,5217.36
purge,5214.15
scare,5212.66
jolly,5211.82
mercy,5208.81
creep,5208.26
gayly,5206.71
biome,5205.99
smite,5204.98
satyr,5204.34
salvo,5204.09
liver,5203.94
godly,5202.08
count,5198.84
wider,5196.61
pixel,5195.12
ruder,5193.8
newer,5191.14
faith,5190.07
talon,5184.3
slave,5183.7
mammy,5183.38
guile,5181.44
lousy,5177.19
loath,5176.55
crone,5175.05
snake,5174.0
slope,5173.69
geese,5171.56
bunny,5169.11
duvet,5166.79
raspy,5163.86
never,5163.64
plane,5163.28
daunt,5163.23
bicep,5160.3
koala,5154.71
brake,5154.5
tulle,5154.26
forth,5153.79
testy,5152.1
mossy,5150.95
title,5148.22
downy,5147.51
tooth,5145.91
shaky,5139.72
butte,5139.25
given,5137.95
spine,5136.86
sedan,5134.03
prone,5130.62
lumen,5130.06
smote,5129.04
daddy,5128.84
dodge,5125.79
bitty,5124.27
donor,5123.29
fixer,5122.55
heady,5122.46
queer,5121.77
gaunt,5117.27
basin,5116.45
blare,5116.22
cutie,5115.65
pagan,5115.61
leave,5114.79
verse,5113.35
fence,5113.0
shady,5109.33
libel,5109.21
court,5108.83
panic,5104.78
bilge,5104.4
snore,5103.06
steep,5102.69
nicer,5098.01
liken,5097.86
smile,5090.66
moist,5088.55
mound,5087.3
total,5086.27
merit,5086.06
colon,5083.28
swine,5081.17
cabby,5081.14
cabal,5080.61
gruel,5079.34
posit,5077.17
marsh,5076.71
toddy,5075.6
tacit,5074.74
earth,5074.66
meant,5070.32
outer,5069.7
stone,5069.48
aunty,5069.4
brace,5063.45
piece,5062.92
widen,5062.53
valid,5060.78
noble,5060.31
grief,5060.0
papal,5057.93
dowry,5057.5
basil,5057.03
fault,5056.5
decay,5056.14
tilde,5055.85
scaly,5055.32
baton,5054.97
fatal,5054.49
rinse,5054.3
comfy,5053.46
diode,5053.05
cacao,5051.83
leery,5051.66
stake,5050.41
alter,5049.9
torso,5048.9
poppy,5048.53
stole,5047.77
spire,5046.85
valve,5046.79
dealt,5044.13
derby,5042.78
sweep,5038.44
trade,5036.74
pinky,5036.43
radar,5036.33
heave,5034.52
patio,5034.5
lofty,5034.07
coach,5032.03
manga,5028.3
beast,5026.0
briny,5023.87
tweed,5022.27
shave,5021.39
scone,5021.35
slant,5020.7
round,5019.55
sepia,5018.72
bully,5015.99
fauna,5012.21
lowly,5011.75
lodge,5011.74
spade,5011.46
month,5011.34
peril,5009.67
verge,5007.59
rogue,5005.88
hence,5003.7
waist,5002.82
dilly,5002.65
furry,5002.03
foist,4999.05
found,4997.8
slimy,4995.2
terra,4994.67
mince,4994.45
viper,4994.29
tapir,4993.38
tabby,4992.29
penal,4991.35
gawky,4991.03
queen,4987.69
scary,4987.02
curve,4983.82
stage,4981.2
store,4979.47
mount,4977.84
trace,4976.08
berth,4975.36
repay,4970.97
spore,4970.91
leafy,4970.62
tonga,4970.58
threw,4969.56
haunt,4968.91
worth,4967.69
brute,4967.57
worst,4966.54
reuse,4966.16
rapid,4962.4
conic,4959.34
bleep,4958.12
weave,4957.72
feral,4957.23
pulse,4956.55
moult,4956.13
polka,4952.8
leant,4951.79
maybe,4951.51
bible,4951.21
space,4950.8
aisle,4950.42
drone,4949.57
crony,4949.41
march,4949.11
snaky,4948.36
gourd,4946.85
roost,4944.86
rabid,4940.65
guise,4939.31
snide,4938.23
porch,4935.81
score,4931.34
drake,4930.5
honor,4928.97
manic,4928.21
cabin,4926.4
clone,4926.39
chief,4920.47
bride,4918.73
filly,4917.63
serum,4917.54
beefy,4916.83
swore,4915.22
tweet,4912.81
karma,4912.66
cheek,4911.81
woozy,4911.39
spiny,4911.22
scene,4910.83
geeky,4909.37
apnea,4905.65
pearl,4903.92
nerdy,4902.59
deuce,4901.83
tango,4901.06
ditty,4900.27
dodgy,4900.15
rocky,4898.77
caulk,4897.95
snipe,4895.96
slain,4894.69
bulge,4893.74
hurry,4892.73
torch,4891.39
heard,4890.97
bobby,4889.79
hoist,4889.75
hound,4888.5
murky,4881.15
wacky,4880.79
harsh,4877.91
shard,4877.84
north,4876.41
pride,4875.78
blade,4875.45
donut,4874.27
jewel,4873.71
broke,4873.18
fiery,4872.64
guide,4872.37
putty,4870.66
tonic,4870.49
larva,4866.96
prose,4866.78
happy,4863.03
retry,4862.43
gaffe,4862.17
reedy,4861.67
joint,4861.58
funny,4860.09
drape,4857.84
grade,4854.15
crime,4849.15
dryer,4848.23
write,4847.0
glare,4846.26
stony,4843.84
condo,4838.86
tiara,4838.41
nomad,4837.37
shalt,4836.68
spike,4836.47
nobly,4834.67
prune,4832.01
thief,4831.62
braid,4824.52
burnt,4819.34
taffy,4819.12
sugar,4818.44
hinge,4817.49
dowdy,4816.73
voila,4815.98
price,4815.12
vague,4814.8
nerve,4814.65
bacon,4814.24
delve,4813.69
crave,4812.01
